date,bank_description,amount,type,category,subcategory,spend_type
2026-01-01,NEFT CR-ICIC0004321-QUBERT TECHNOLOGIES PVT LTD-SALARY JAN 2026-N663923321468,60000.00,credit,,,
2026-01-01,UPI-176418457824-SOCIAL HITEC CITY-social.hitec@okhdfcbank-NYE PARTY SPLIT,2000.00,debit,Lifestyle,Events,Party
2026-01-01,UPI-466832860334-RAPIDO BIKE TAXI-rapido@ybl-RIDE,80.00,debit,Essentials,Transport,Rapido
2026-01-01,UPI-532916055638-APOLLO PHARMACY-apollopharmacy@icici-MEDICINES,190.00,debit,Essentials,Medical,Medicines
2026-01-01,UPI-023359410616-AUTO STAND MADHAPUR-9912665544@paytm-AUTO FARE,70.00,debit,Essentials,Transport,Auto
2026-01-01,UPI-528518405632-ZOMATO-zomato.order@hdfcbank-ORDER 99522601,320.00,debit,Lifestyle,Food & Drinks,Fast Food
2026-01-02,UPI-819736993563-VENKAT RAO-venkatrao.landlord@oksbi-1BHK RENT MADHAPUR,15000.00,debit,Essentials,Bills,Rent
2026-01-02,UPI-780941610477-SWIGGY-swiggy@icici-ORDER 34591449,550.00,debit,Lifestyle,Food & Drinks,Take Away
2026-01-02,UPI-914762497384-RAPIDO BIKE TAXI-rapido@ybl-RIDE,130.00,debit,Essentials,Transport,Rapido
2026-01-02,UPI-338967295828-BLINKIT-blinkit.grocery@ybl-ORDER B74789535,640.00,debit,Essentials,Groceries,Staples
2026-01-02,UPI-271582580103-AUTO STAND MADHAPUR-9912665544@paytm-AUTO FARE,60.00,debit,Essentials,Transport,Auto
2026-01-03,UPI-272951817560-SLICE-slice.repay@axisb-SLICE CARD BILL,2400.00,debit,Essentials,Credit Bill,Slice
2026-01-03,UPI-442831915034-SWIGGY-swiggy@icici-ORDER 67110313,530.00,debit,Lifestyle,Food & Drinks,Take Away
2026-01-03,UPI-521410565939-SWIGGY-swiggy@icici-ORDER 76688659,350.00,debit,Lifestyle,Food & Drinks,Take Away
2026-01-03,POS 489377XXXXXX3321 THIRD WAVE COFFEE,370.00,debit,Lifestyle,Food & Drinks,Tea & Coffee
2026-01-04,UPI-419006458994-RAPIDO BIKE TAXI-rapido@ybl-RIDE,90.00,debit,Essentials,Transport,Rapido
2026-01-04,UPI-609032240429-TONIQUE WINES-tonique.jubilee@okicici-WEEKEND STOCK,1350.00,debit,Lifestyle,Personal,Vices
2026-01-05,UPI-806358178397-SIMPL-getsimpl@ybl-SIMPL DUES CLEARED,900.00,debit,Essentials,Credit Bill,Simpl
2026-01-05,UPI-616124906528-GOLDS GYM MADHAPUR-goldsgym.madhapur@okicici-MONTHLY MEMBERSHIP,1500.00,debit,Lifestyle,Fitness,Gym
2026-01-06,UPI-273242888133-PLAYO SPORTS-playo@axisb-BADMINTON COURT 1HR,500.00,debit,Lifestyle,Fitness,Badminton
2026-01-07,UPI-523279282010-LAZYPAY-lazypay.payu@hdfcbank-LAZYPAY BILL,700.00,debit,Essentials,Credit Bill,LazyPay
2026-01-08,UPI-979122754590-AUTO STAND MADHAPUR-9912665544@paytm-AUTO FARE,150.00,debit,Essentials,Transport,Auto
2026-01-08,UPI-445656245202-ABS ABSOLUTE BARBECUE-absbarbecue.hitec@okhdfcbank-BUFFET,1200.00,debit,Lifestyle,Food & Drinks,Eating Out
2026-01-09,UPI-734341533647-TSSPDCL-billpay.tsspdcl@icici-USN 556677889900,884.00,debit,Essentials,Bills,Electricity
2026-01-09,UPI-378015715098-ZOMATO-zomato.order@hdfcbank-ORDER 34796279,470.00,debit,Lifestyle,Food & Drinks,Fast Food
2026-01-09,UPI-981386290569-ZOMATO-zomato.order@hdfcbank-ORDER 27423582,350.00,debit,Lifestyle,Food & Drinks,Fast Food
2026-01-09,POS 489377XXXXXX3321 THIRD WAVE COFFEE,400.00,debit,Lifestyle,Food & Drinks,Tea & Coffee
2026-01-10,POS 489377XXXXXX3321 STEAMGAMES COM,2499.00,debit,Lifestyle,Shopping,Video Games
2026-01-10,POS 489377XXXXXX3321 THIRD WAVE COFFEE,380.00,debit,Lifestyle,Food & Drinks,Tea & Coffee
2026-01-10,UPI-529555064938-BLINKIT-blinkit.grocery@ybl-ORDER B22048441,390.00,debit,Essentials,Groceries,Staples
2026-01-10,UPI-351256248437-MAGGI POINT KPHB-9959887766@ybl-MIDNIGHT SNACKS,160.00,debit,Lifestyle,Food & Drinks,Snacks
