date,bank_description,amount,type,category,subcategory,spend_type
2026-01-01,IMPS-P2A-757491186252-MRS PADMAVATHI DEVI-XXXXXX9911-FLAT RENT,18000.00,debit,Essentials,Bills,Rent
2026-01-01,UPI-434839548620-MEDPLUS PHARMACY-medplus.madhapur@icici-MEDICINES,440.00,debit,Essentials,Medical,Medicines
2026-01-02,UPI-760189555979-91SPRINGBOARD HITEC-91springboard.hyd@icici-COWORKING SEAT,6000.00,debit,Goals,Business,Rent
2026-01-02,IMPS-P2A-114710497465-KAVYA REDDY-XXXXXX2233-ASSISTANT STIPEND,8000.00,debit,Goals,Business,Salary
2026-01-03,UPI-586492083124-SWIGGY-swiggy@icici-ORDER 40141931,210.00,debit,Lifestyle,Food & Drinks,Take Away
2026-01-03,POS 453210XXXXXX1122 RATNADEEP SUPER MARKET,580.00,debit,Lifestyle,Home,Toiletries
2026-01-04,POS 453210XXXXXX1122 ADOBE CREATIVE CLOUD,1675.00,debit,Lifestyle,Subscription,Software
2026-01-04,UPI-803340187801-AUTO STAND GACHIBOWLI-9963887744@paytm-AUTO FARE,130.00,debit,Essentials,Transport,Auto
2026-01-04,UPI-252427316723-NIMRAH IRANI CAFE-nimrah.cafe@ybl-CHAI OSMANIA,50.00,debit,Lifestyle,Food & Drinks,Tea & Coffee
2026-01-05,NEFT CR-ICIC0002244-PIXELWORKS STUDIO-INV FQ2026-526018-N016613186091,35000.00,credit,,,
2026-01-05,POS 453210XXXXXX1122 HP PETROL BIKE FUEL,450.00,debit,Essentials,Transport,Fuel
2026-01-05,UPI-516780083740-KUMARI VEGETABLES-9848765432@ybl-VEGETABLES,200.00,debit,Essentials,Groceries,Vegetables
2026-01-06,ACH D-BAJAJ FINSERV-LAPTOP LOAN L2XN887766-EMI,4499.00,debit,Essentials,EMI,Electronics
2026-01-06,POS 453210XXXXXX1122 RATNADEEP SUPER MARKET,420.00,debit,Lifestyle,Home,Toiletries
